timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1712861013439,5493,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-579,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5493
1712861013546,5405,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-684,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5405
1712861013443,5515,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-581,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5515
1712861013434,5534,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-572,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5534
1712861013490,5478,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-629,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5478
1712861014218,4768,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-1359,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,4768
1712861014221,4765,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-1362,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,4765
1712861014223,4763,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-1364,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,4763
1712861014227,4784,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-1368,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,4784
1712861014224,4791,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-1365,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,4791
1712861013560,5459,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-698,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5459
1712861013534,5486,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-672,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5486
1712861013533,5487,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-671,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5487
1712861014197,4823,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-1338,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,4823
1712861013563,5457,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-701,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5457
1712861013556,5473,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-695,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5473
1712861013561,5468,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-699,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5468
1712861013500,5530,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-638,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5530
1712861013625,5411,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-762,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5411
1712861013575,5461,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-714,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5461
1712861013585,5469,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-723,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5469
1712861013671,5415,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-810,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5415
1712861013613,5473,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-752,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5473
1712861013667,5419,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-805,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5419
1712861013609,5483,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-747,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5483
1712861013658,5474,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-796,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5474
1712861013705,5427,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-845,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5427
1712861013703,5429,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-842,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5429
1712861013706,5426,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-846,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5426
1712861013659,5475,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-797,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5475
1712861013709,5425,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-848,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5425
